Timestamp,Air Temp WSSR [Sagehorn Ranch WS], flag
4/1/2016 10:05,15.23,P
4/1/2016 10:10,15.67,P
4/1/2016 10:15,15.57,P
4/1/2016 10:20,16.25,P
4/1/2016 10:25,16.49,P
4/1/2016 10:30,17.17,P
4/1/2016 10:35,17.1,P
4/1/2016 10:40,17.24,P
4/1/2016 10:45,17.44,P
4/1/2016 10:50,17.99,P
4/1/2016 10:55,18.36,P
4/1/2016 11:00,18.25,P
4/1/2016 11:05,17.88,P
4/1/2016 11:10,18.28,P
4/1/2016 11:15,18.25,P
4/1/2016 11:20,18.52,P
4/1/2016 11:25,19.48,P
4/1/2016 11:30,19.48,P
4/1/2016 11:35,19.58,P
4/1/2016 11:40,19.34,P
4/1/2016 11:45,19.37,P
4/1/2016 11:50,19,P
4/1/2016 11:55,18.15,P
4/1/2016 12:00,18.9,P
4/1/2016 12:05,18.69,P
4/1/2016 12:10,18.38,P
4/1/2016 12:15,18.18,P
4/1/2016 12:20,17.84,P
4/1/2016 12:25,17.94,P
4/1/2016 12:30,18.08,P
4/1/2016 12:35,18.49,P
4/1/2016 12:40,18.38,P
4/1/2016 12:45,18.59,P
4/1/2016 12:50,17.91,P
4/1/2016 12:55,17.98,P
4/1/2016 13:00,17.84,P
4/1/2016 13:05,17.57,P
4/1/2016 13:10,17.57,P
4/1/2016 13:15,17.74,P
4/1/2016 13:20,17.71,P
4/1/2016 13:25,17.57,P
4/1/2016 13:30,17.84,P
4/1/2016 13:35,17.64,P
4/1/2016 13:40,17.54,P
4/1/2016 13:45,17.27,P
4/1/2016 13:50,17.17,P
4/1/2016 13:55,16.79,P
4/1/2016 14:00,17.37,P
4/1/2016 14:05,17.2,P
4/1/2016 14:10,17.2,P
4/1/2016 14:15,17.24,P
4/1/2016 14:20,18.05,P
4/1/2016 14:25,18.02,P
4/1/2016 14:30,17.64,P
4/1/2016 14:35,17.71,P
4/1/2016 14:40,17.64,P
4/1/2016 14:45,17.37,P
4/1/2016 14:50,17.27,P
4/1/2016 14:55,17.1,P
4/1/2016 15:00,16.76,P
4/1/2016 15:05,16.76,P
4/1/2016 15:10,16.83,P
4/1/2016 15:15,17.2,P
4/1/2016 15:20,17.17,P
4/1/2016 15:25,17.13,P
4/1/2016 15:30,16.96,P
4/1/2016 15:35,16.89,P
4/1/2016 15:40,16.83,P
4/1/2016 15:45,16.93,P
4/1/2016 15:50,17.06,P
4/1/2016 15:55,17.1,P
4/1/2016 16:00,16.76,P
4/1/2016 16:05,16.72,P
4/1/2016 16:10,16.66,P
4/1/2016 16:15,16.28,P
4/1/2016 16:20,16.11,P
4/1/2016 16:25,16.04,P
4/1/2016 16:30,15.91,P
4/1/2016 16:35,16.04,P
4/1/2016 16:40,15.77,P
4/1/2016 16:45,15.7,P
4/1/2016 16:50,15.87,P
4/1/2016 16:55,15.84,P
4/1/2016 17:00,15.7,P
4/1/2016 17:05,15.5,P
4/1/2016 17:10,15.43,P
4/1/2016 17:15,15.5,P
4/1/2016 17:20,15.33,P
4/1/2016 17:25,15.06,P
4/1/2016 17:30,14.82,P
4/1/2016 17:35,14.78,P
4/1/2016 17:40,14.65,P
4/1/2016 17:45,14.69,P
4/1/2016 17:50,14.65,P
4/1/2016 17:55,14.31,P
4/1/2016 18:00,14.04,P
4/1/2016 18:05,13.73,P
4/1/2016 18:10,13.29,P
4/1/2016 18:15,13.29,P
4/1/2016 18:20,13.06,P
4/1/2016 18:25,12.85,P
4/1/2016 18:30,12.62,P
4/1/2016 18:35,12.55,P
4/1/2016 18:40,12.48,P
4/1/2016 18:45,12.45,P
4/1/2016 18:50,12.58,P
4/1/2016 18:55,12.69,P
4/1/2016 19:00,12.72,P
4/1/2016 19:05,12.04,P
4/1/2016 19:10,11.84,P
4/1/2016 19:15,11.77,P
4/1/2016 19:20,11.77,P
4/1/2016 19:25,12.18,P
4/1/2016 19:30,12.69,P
4/1/2016 19:35,12.8,P
4/1/2016 19:40,12.73,P
4/1/2016 19:45,12.7,P
4/1/2016 19:50,12.49,P
4/1/2016 19:55,12.46,P
4/1/2016 20:00,12.46,P
4/1/2016 20:05,12.52,P
4/1/2016 20:10,12.52,P
4/1/2016 20:15,12.56,P
4/1/2016 20:20,12.12,P
4/1/2016 20:25,11.94,P
4/1/2016 20:30,11.84,P
4/1/2016 20:35,12.12,P
4/1/2016 20:40,12.36,P
4/1/2016 20:45,12.29,P
4/1/2016 20:50,12.39,P
4/1/2016 20:55,12.29,P
4/1/2016 21:00,12.29,P
4/1/2016 21:05,12.22,P
4/1/2016 21:10,12.16,P
4/1/2016 21:15,12.26,P
4/1/2016 21:20,12.19,P
4/1/2016 21:25,11.99,P
4/1/2016 21:30,11.68,P
4/1/2016 21:35,12.02,P
4/1/2016 21:40,12.06,P
4/1/2016 21:45,11.61,P
4/1/2016 21:50,11.07,P
4/1/2016 21:55,11.24,P
4/1/2016 22:00,11.07,P
4/1/2016 22:05,11.07,P
4/1/2016 22:10,11.24,P
4/1/2016 22:15,11.13,P
4/1/2016 22:20,10.93,P
4/1/2016 22:25,10.72,P
4/1/2016 22:30,10.42,P
4/1/2016 22:35,9.97,P
4/1/2016 22:40,10.35,P
4/1/2016 22:45,10.66,P
4/1/2016 22:50,10.59,P
4/1/2016 22:55,10.69,P
4/1/2016 23:00,10.08,P
4/1/2016 23:05,10.25,P
4/1/2016 23:10,10.59,P
4/1/2016 23:15,10.14,P
4/1/2016 23:20,10.08,P
4/1/2016 23:25,10.04,P
4/1/2016 23:30,9.67,P
4/1/2016 23:35,9.7,P
4/1/2016 23:40,9.77,P
4/1/2016 23:45,9.5,P
4/1/2016 23:50,9.29,P
4/1/2016 23:55,9.16,P
4/2/2016 0:00,8.85,P
4/2/2016 0:05,8.71,P
4/2/2016 0:10,8.68,P
4/2/2016 0:15,8.62,P
4/2/2016 0:20,8.51,P
4/2/2016 0:25,8.28,P
4/2/2016 0:30,8.38,P
4/2/2016 0:35,8.41,P
4/2/2016 0:40,8.35,P
4/2/2016 0:45,8.65,P
4/2/2016 0:50,8.55,P
4/2/2016 0:55,8.28,P
4/2/2016 1:00,8.14,P
4/2/2016 1:05,8.35,P
4/2/2016 1:10,8.45,P
4/2/2016 1:15,8.69,P
4/2/2016 1:20,8.97,P
4/2/2016 1:25,9,P
4/2/2016 1:30,8.86,P
4/2/2016 1:35,8.76,P
4/2/2016 1:40,8.55,P
4/2/2016 1:45,8.59,P
4/2/2016 1:50,8.62,P
4/2/2016 1:55,8.8,P
4/2/2016 2:00,8.76,P
4/2/2016 2:05,8.86,P
4/2/2016 2:10,8.86,P
4/2/2016 2:15,8.97,P
4/2/2016 2:20,8.86,P
4/2/2016 2:25,8.76,P
4/2/2016 2:30,8.83,P
4/2/2016 2:35,8.76,P
4/2/2016 2:40,8.9,P
4/2/2016 2:45,8.73,P
4/2/2016 2:50,8.66,P
4/2/2016 2:55,8.59,P
4/2/2016 3:00,8.59,P
4/2/2016 3:05,8.69,P
4/2/2016 3:10,8.66,P
4/2/2016 3:15,8.56,P
4/2/2016 3:20,8.63,P
4/2/2016 3:25,8.83,P
4/2/2016 3:30,8.93,P
4/2/2016 3:35,8.83,P
4/2/2016 3:40,8.66,P
4/2/2016 3:45,8.46,P
4/2/2016 3:50,8.39,P
4/2/2016 3:55,8.32,P
4/2/2016 4:00,8.08,P
4/2/2016 4:05,7.978,P
4/2/2016 4:10,7.773,P
4/2/2016 4:15,7.637,P
4/2/2016 4:20,7.432,P
4/2/2016 4:25,7.296,P
4/2/2016 4:30,7.296,P
4/2/2016 4:35,7.535,P
4/2/2016 4:40,7.364,P
