Site,Tree #,Species,Slope,Side of Tree,Sensor ID,SE Channel Data Logger,EX Channel Data Logger,Data Logger Turn On Date,Data Logger Turn-on Time,Height Above Ground (m) (+/- 1 m),Notes,Include,Raw Voltage DSID,Micron Displacement DSID,,,Notes
Sagehorn,205,QUGA,S,NE,7,2,1,8/6/2015,18:49,3,,no,50000,60000,,,"We scraped away what we interpreted to be dead bark to reveal live bark, identified by a color change (typically darker to lighter), increase in moisture content (wet), and fibrous texture. We placed the pistond dendrometer on the outermost live bark."
Sagehorn,205,QUGA,S,SW,27,4,2,8/6/2015,18:49,3,Threaded rods not srewed in all the way (yet). Screwed all the way in 9-AUG-2015,yes,50001,60001,,,"We threaded rods approximately 15 cm in total length into the tree after pre-drilling to approximately 8 cm. The idea is to sink the end of the threaded rod into the dead heartwood of the tree, to fix the piston dendrometer in a tree frame of reference."
Sagehorn,206,QUGA,S,SW,6,1,1,8/6/2015,18:49,3,Threaded rods not srewed in all the way (yet). Screwed all the way in 9-AUG-2015,yes,50002,60002,,,
Sagehorn,206,QUGA,S,E,23,3,2,8/6/2015,18:49,3,Threaded rods not srewed in all the way (yet). Screwed all the way in 9-AUG-2015,yes,50003,60003,,,
Sagehorn,207,QUGA,S,E,43,6,3,8/6/2015,18:49,3,,yes,50004,60004,,,
Sagehorn,207,QUGA,S,NE,39,5,3,8/6/2015,18:49,3,,no,50005,60005,,,
Sagehorn,NT,QUGA,N,NW,26,4,2,8/6/2015,18:18,3,,yes,50006,60006,,,
Sagehorn,NT,QUGA,N,SE,3,6,3,8/6/2015,18:18,3,,yes,50007,60007,,,
Sagehorn,208,QUGA,N,N,5,2,1,8/6/2015,18:18,3,,no,50008,60008,,,
Sagehorn,208,QUGA,N,S,41,1,1,8/6/2015,18:18,3,,no,50009,60009,,,
Sagehorn,210,ARME,N,N,8,5,3,8/6/2015,18:18,3,,no,50010,60010,,,
Sagehorn,210,ARME,N,E,28,3,2,8/6/2015,18:18,3,,no,50011,60011,,,
Rivendell,296,QUCH,N,E,10,7,4,8/7/2015,15:43,1.3,*** Did not permanently ground data logger box from ground lug.. Restarted and regrounded with steel cable tie 9-AUG-2015,yes,50012,60012,,,
Rivendell,296,QUCH,N,W,44,8,4,8/7/2015,15:43,1.3,,yes,50013,60013,,,
Rivendell,297,ARME,N,E,35,6,3,8/7/2015,15:43,1.3,,no,50014,60014,,,
Rivendell,297,ARME,N,W,22,5,3,8/7/2015,15:43,1.3,,yes,50015,60015,,,
Rivendell,37,NODE,N,W,36,4,2,8/7/2015,15:43,1.3,,yes,50016,60016,,,
Rivendell,37,NODE,N,E,4,3,2,8/7/2015,15:43,1.3,,yes,50017,60017,,,
Rivendell,41,PSME,N,SW,40,1,1,8/7/2015,15:43,1.3,One or more threaded rods not sunk into heartwood successfully,yes,50018,60018,,,
Rivendell,41,PSME,N,N,42,2,1,8/7/2015,15:43,1.3,,yes,50019,60019,,,
Rivendell,71,PSME,S,W,32,1,1,8/7/2015,15:43,1.3,One or more threaded rods not sunk into heartwood successfully,no,50020,60020,,,
Rivendell,71,PSME,S,E,33,2,1,8/7/2015,15:43,1.3,,yes,50021,60021,,,
Rivendell,300,NODE,S,,34,3,2,8/7/2015,15:43,1.3,One or more threaded rods not sunk into heartwood successfully,no,50022,60022,,,
Rivendell,300,NODE,S,,9,4,2,8/7/2015,15:43,1.3,,yes,50023,60023,,,
Rivendell,299,NODE,S,E,24,5,3,8/7/2015,15:43,1.3,,yes,50024,60024,,,
Rivendell,299,NODE,S,W,48,6,3,8/7/2015,15:43,1.3,,yes,50025,60025,,,
Rivendell,70,ARME,S,W,25,7,4,8/7/2015,15:43,1.3,,no,50026,60026,,,
Rivendell,70,ARME,S,E,38,8,4,8/7/2015,15:43,1.3,,yes,50027,60027,,,
